"WaterbodyID","DistCat","DistCat_trim","DistCat2","Alkalinity_uEqL","Chla_ugL","Chloride_mgL","Conductivity_uScm","DO_bttm_mgL","DO_mean_1mBlwThrmclin_mgL","DO_mean_hypo_mgL","DO_mean_surf_mgL","DO_mgL","DO_SAT_pct","DOSAT_bttm_pct","DOSAT_mean_1mBlwThrmclin_pct","DOSAT_mean_hypo_pct","DOSAT_mean_surf_pct","NO3NO2_mgL","pH_bttm","pH_mean_1mBlwThrmclin","pH_mean_hypo","pH_mean_surf","pH_None","Temp_bttm_C","Temp_min_C","Temperature_Water_DegC","TN_mgL","TP_mgL","WsAreaSqKm","BFICat","ElevCat","Al2O3Cat","K2OCat","Na2OCat","PctImp2019Cat","KffactCat","InorgNWetDep_2008Cat","Tmean8110Cat","RunoffCat","SlopeCat","ClayCat","SandCat","OmCat","WetIndexCat","WetIndexWs","PctUrb2019Ws","PctFor2019Ws","PctWet2019Ws"
"TtID_5878375","Strs","Strs","Non_Ref",,3.3,,,-0.2,1.4,0.333333333,7.8,5.09090909090909,,-2,14,3.333333333,96,,6.4,5.9,6.2,7,,11.4,11.4,17.3416666666667,,0.114666666666667,12.2724,61.72862341,30.82131519,14.43111229,3.363332987,2.731667042,24.79472408,0.27,3.286422779,10.20958195,700,2.143265152,3.114031231,63.5835279,0.45259627,727.0260764,722.8274421,48.37929011,21.99325315,0.608682898
"TtID_5878385","Strs","Strs","Non_Ref",,,,,,,,,6.28571428571429,,,,,,,,,,,,,,17.7916666666667,,,17.577,62.22022529,27.74188018,14.43111229,3.363332987,2.731667042,23.16671787,0.27,3.279439019,10.24495976,700,2.580650324,3.37,68.81,0.49,984.4009729,984.4009729,45.2688172,21.01382488,1.075268817
"TtID_5878413","SomeStrs","Strs","Non_Ref",344.389333333333,14.9333333333333,19.3333333333333,,-0.2,2.275,1.15285714285714,8.92142857142857,,,-2,22,12.2,106.071428571429,0.04,6.08571428571429,6.1,6.117142857,7.30714285714286,,11.8571428571429,11.8571428571429,,0.579,0.03391,29.1456,60.81861413,41.81838284,14.43111229,3.363332987,2.731667042,9.942564229,0.241050519,3.321040157,10.1043763,700,3.923964094,3.323699358,70.33657362,0.462790267,867.03125,867.03125,19.48184289,52.12450593,0.243947628
"TtID_5880839","Strs","Strs","Non_Ref",,,,,,,,,,,,,,,0.0335036666666667,,,,,,,,,,,17.6229,54.05052942,54.05776572,14.28333473,4.489999771,3.539999962,0.580351159,0.155989814,3.973984293,10.69173842,696.8604745,2.764815461,6.124631947,47.44756533,0.80211819,1212.575258,1020.703897,0.669015883,65.05285736,18.95715234
"TtID_5880937","Strs","Strs","Non_Ref",699.888,40.175,69.6666666666667,,4.46666666666667,0.8,5.06666666666667,9.2,,,53,10,60.3333333333333,114,0.04,7.13333333333333,6.9,7.08888888866667,8.8,,23.9333333333333,23.9333333333333,,0.508333333333333,0.0353333333333333,67.2597,54,47.87292883,14.26584934,4.493596768,3.543531875,11.10890315,0.158035166,3.930390563,10.86985678,700,2.409805222,6.422831403,45.45493806,0.84090294,1199.225454,1082.675111,30.42431055,25.94703812,12.19942997
"TtID_5880991","SomeStrs","Strs","Non_Ref",,11.05561179,,,,,,,,,,,,,0.0463636363636364,,,,,,,,25.5,0.4639,0.0243559322033898,5.733,54.42370487,66.62999058,9.583512189,3.012599532,2.375189927,7.811930926,0.113582418,3.847527109,10.97477443,699.4172684,2.536617574,5.574342229,48.67383987,19.68598587,833.2032967,833.2032967,13.13971743,36.15384615,9.152276295
"TtID_5881005","Strs","Strs","Non_Ref",,20,,100.55,,,,,4.7,58.5,,,,,,,,,,6.2,,,25.1,,0.002,70.8822,54.50994842,22.34218865,14.40119555,2.819771558,2.760176847,14.20375829,0.185733235,3.865158009,10.56472961,700,1.911139287,2.49316507,69.57695284,0.955490052,989.7575534,927.6889586,8.661977196,50.81134615,26.41890348
"TtID_5882143","Strs","Strs","Non_Ref",133.312,8.1,,109,,,,,8.13333333333333,86.8333333333333,,,,,,,,,,6.31666666666667,,,19.45,,1.2,0.7857,60,12.61671249,12.3204298,2.118760109,1.180416942,0.741122566,0.161683849,2.477134744,10.12530457,700,2.559810256,2.922439863,80.74668958,0.278613975,653.8052692,653.8052692,1.718213058,51.0882016,10.7674685
"TtID_6074541","SubRef","Ref","Ref",,3.60888888888889,,,,,,,,,,,,,0.0425,,,,,6.39,,,25.5351351351351,,0.0118888888888889,0.7974,49,165.6163995,14.45234299,2.861310005,2.818404913,0.9503386,0.23,4.415297031,8.504441017,494,8.983528635,5.43,52.95,0.82,469.5,469.5,1.58013544,77.6523702,2.595936795
"TtID_6074569","BestRef","Ref","Ref",,2.07,,,,,,,7.99653846153846,98.6076923076923,,,,,,,,,,,,,25.3115384615385,,0.009,2.1852,49.03377265,173.0660132,14.4124576,3.245675424,2.988698967,0.086490939,0.23,4.314657021,8.487355933,495.1301483,8.974513836,5.43,52.9729654,0.82,808.3698517,808.3698517,0.164744646,84.14332784,0.57660626
